                      AS34011       GD-EMEA-DC-CGN1, DE
49.4.32.0/20          AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
                      AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
49.48.0.0/16          AS45758       TTBP-AS-AP Triple T Broadband Public Company Limited, TH
                      AS45629       JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
49.49.0.0/16          AS45758       TTBP-AS-AP Triple T Broadband Public Company Limited, TH
                      AS45629       JASTEL-NETWORK-TH-AP JasTel Network International Gateway, TH
50.201.207.0/24       AS22909       COMCAST-22909, US
                      AS22688       DOLGENCORP, US
50.205.226.0/24       AS33651       CMCS, US
                      AS33667       CMCS, US
50.206.219.0/24       AS33651       CMCS, US
                      AS33667       CMCS, US
50.227.120.0/24       AS33651       CMCS, US
                      AS33667       CMCS, US
50.228.121.0/24       AS397380      TEMPLE-HEALTH, US
                      AS33287       COMCAST-33287, US
50.228.223.0/24       AS33651       CMCS, US
                      AS33667       CMCS, US
50.231.42.0/24        AS33652       CMCS, US
                      AS30620       CO-DATACENTER, US
50.231.48.0/24        AS33651       CMCS, US
                      AS33667       CMCS, US
50.233.114.0/24       AS7018        ATT-INTERNET4, US
                      AS33668       CMCS, US
58.68.234.0/24        AS4847        CNIX-AP China Networks Inter-Exchange, CN
                      AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
58.68.236.0/24        AS4847        CNIX-AP China Networks Inter-Exchange, CN
                      AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
58.68.247.0/24        AS4847        CNIX-AP China Networks Inter-Exchange, CN
                      AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
58.83.128.0/17        AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
                      AS4835        CHINANET-IDC-SN China Telecom Group, CN
58.83.128.0/18        AS9308        CHINA-ABITCOOL AbitcoolChina Inc., CN
                      AS9802        CHINA-ABITCOOL AbitcoolChina Inc., CN
59.66.0.0/16          AS24348       CNGI-BJ-IX2-AS-AP CERNET2 IX at Tsinghua University, CN
                      AS4538        ERX-CERNET-BKB China Education and Research Network Center, CN
59.68.92.0/22         AS4538        ERX-CERNET-BKB China Education and Research Network Center, CN
                      AS24358       CNGI-WH-IX-AS-AP CERNET2 IX at Huazhong University of Science and Technology, CN
59.78.171.0/24        AS24364       CNGI-SH-IX-AS-AP CERNET2 IX at Shanghai Jiaotong University, CN
                      AS4538        ERX-CERNET-BKB China Education and Research Network Center, CN
59.151.0.0/17         AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
                      AS4835        CHINANET-IDC-SN China Telecom Group, CN
61.4.176.0/20         AS23724       CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation, CN
                      AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
61.107.27.0/24        AS9457        DREAMX-AS DREAMLINE CO., KR
                      AS55623       KIDI-AS-KR Korea Insurance Development Instute, KR
62.8.65.0/24          AS37027       SIMBANET-AS, TZ
                      AS15399       WANANCHI-, KE
62.8.74.0/24          AS37027       SIMBANET-AS, TZ
                      AS15399       WANANCHI-, KE
62.8.83.0/24          AS37027       SIMBANET-AS, TZ
                      AS15399       WANANCHI-, KE
62.8.85.0/24          AS37027       SIMBANET-AS, TZ
                      AS15399       WANANCHI-, KE
62.138.128.0/21       AS8972        GD-EMEA-DC-SXB1, DE
                      AS34011       GD-EMEA-DC-CGN1, DE
62.189.114.0/24       AS198949      VS-AS, IL
                      AS20249       AS20249, US
63.131.224.0/20       AS30340       AS-TIERP-30340, US
                      AS17378       AS17378, US
63.131.228.0/22       AS30340       AS-TIERP-30340, US
                      AS17378       AS17378, US
63.131.232.0/21       AS30340       AS-TIERP-30340, US
                      AS17378       AS17378, US
63.174.218.0/24       AS33491       COMCAST-33491, US
                      AS19409       VWCREDIT-COM, US
63.223.44.0/24        AS17984       PCCWG-APAC-HK PCCW Global HK Ltd., HK
                      AS3491        BTN-ASN, US
64.6.65.0/24          AS397241      SECURITYSERVICES, US
                      AS397239      SECURITYSERVICES, US
64.30.192.0/19        AS11123       UIA, US
                      AS11841       UIA11841, US
64.30.194.0/24        AS11123       UIA, US
                      AS11841       UIA11841, US
64.38.75.0/24         AS30041       RACE, US
                      AS26637       APEIRON001, US
64.38.80.0/21         AS30041       RACE, US
                      AS26637       APEIRON001, US
64.38.88.0/21         AS30041       RACE, US
                      AS26637       APEIRON001, US
64.202.124.0/24       AS48851       RADWARE, IL
                      AS25773       RADWARE-CLOUD-SERVICES, US
65.61.96.0/19         AS30340       AS-TIERP-30340, US
                      AS17378       AS17378, US
65.218.217.0/24       AS14045       CHANGEHEALTHCARE, US
                      AS33232       -Reserved AS-, ZZ
66.28.84.0/24         AS14454       PERIMETER-ESECURITY, US
                      AS174         COGENT-174, US
66.28.85.0/24         AS14454       PERIMETER-ESECURITY, US
                      AS174         COGENT-174, US
66.45.160.0/19        AS30340       AS-TIERP-30340, US
                      AS17378       AS17378, US
66.45.160.0/20        AS30340       AS-TIERP-30340, US
                      AS17378       AS17378, US
66.45.176.0/21        AS30340       AS-TIERP-30340, US
                      AS17378       AS17378, US
66.45.184.0/22        AS30340       AS-TIERP-30340, US
                      AS17378       AS17378, US
